ticker,alpha,model,pinball,dm_vs_baseline,dm_p_better_than_baseline,in_mcs,mcs_pvalue,breach_rate,kupiec_p,christoffersen_ind_p,christoffersen_cc_p,passes_gate,n_test
NVDA,0.01,Anchor hist [SimpleQuantileNeuron],0.001016802369911719,0.6242164989248261,0.733662001512673,True,0.158,0.0066844919786096255,0.3321884990093141,0.7951815565847147,0.6041899105592773,True,748
NVDA,0.01,Unanchored [QuantileMLP],0.001038228970769013,0.7675381290140929,0.7784979171338346,True,0.158,0.009358288770053475,0.8584803881762761,0.7159211955815086,0.9211667222737485,True,748
NVDA,0.01,Anchor param [QuantileMLP],0.001038228970769013,0.7675381290140929,0.7784979171338346,True,0.158,0.009358288770053475,0.8584803881762761,0.7159211955815086,0.9211667222737485,True,748
NVDA,0.01,Anchor hist [QuantileMLP],0.0010446082505103232,1.4101036705559866,0.9205373469181496,True,0.158,0.009358288770053475,0.8584803881762761,0.7159211955815086,0.9211667222737485,True,748
NVDA,0.01,Historical,0.0011059069453262876,1.7898608567934466,0.9630593883205585,True,0.158,0.016042780748663103,0.12675375248763185,0.53132639157373,0.25618994187610383,True,748
BTC-USD,0.01,"GARCH(1,1)-t",0.0008492404417129304,-2.6791498807586374,0.0037467112208193877,True,0.11,0.006493506493506494,0.21634990672973003,0.7621661556567066,0.4448562291376894,True,1078
BTC-USD,0.01,Historical,0.0008713552582925333,-1.5455307244417598,0.06125585712649283,True,0.11,0.014842300556586271,0.1360346037692879,0.4872551388731615,0.2586145903852121,True,1078
BTC-USD,0.01,Anchor param [QuantileMLP],0.0009204143776154641,-1.6350748535838344,0.051162785193142164,True,0.11,0.0037105751391465678,0.01723979227033907,0.8628924659183433,0.05779750136604092,False,1078
BTC-USD,0.01,Unanchored [QuantileMLP],0.0009204143776154641,-1.6350748535838344,0.051162785193142164,True,0.11,0.0037105751391465678,0.01723979227033907,0.8628924659183433,0.05779750136604092,False,1078
BTC-USD,0.01,Anchor param [SimpleQuantileNeuron],0.000971447343082646,0.0,0.5,True,0.11,0.0018552875695732839,0.00096483860146708,0.9312547722381249,0.004293521686298715,False,1078
BTC-USD,0.01,Unanchored [SimpleQuantileNeuron],0.000971447343082646,,,True,0.11,0.0018552875695732839,0.00096483860146708,0.9312547722381249,0.004293521686298715,False,1078
BTC-USD,0.01,Anchor hist [QuantileMLP],0.00098245150885138,0.4424334408560403,0.6708677899550063,True,0.11,0.0018552875695732839,0.00096483860146708,0.9312547722381249,0.004293521686298715,False,1078
BTC-USD,0.01,Parametric-Normal,0.0009848344219524057,0.15292613601589042,0.560757414874304,True,0.11,0.029684601113172542,1.476805287511673e-07,0.9588466187202407,1.0044266568802487e-06,False,1078
